Date,Holiday,Description
01/01/2011,1,Republic Day/New Year's Day
02/02/2011,1,Chinese New Year's Eve
02/03/2011,1,Chinese New Year's Day
02/04/2011,1,Chinese New Year Holiday 1
02/04/2011,1,Farmer's Day
02/05/2011,1,Chinese New Year Holiday 2
02/06/2011,1,Chinese New Year Holiday 3
02/07/2011,1,Chinese New Year Holiday 4
02/17/2011,1,Lantern Festival
02/28/2011,1,228 Memorial Day
03/29/2011,1,Youth Day
04/04/2011,1,Women and Children's Day
04/05/2011,1,Tomb Sweeping Day
05/01/2011,1,Labor Day
06/06/2011,1,Dragon Boat Festival
08/14/2011,1,Ghost Festival
09/03/2011,1,Armed Forces Day
09/12/2011,1,Mid-Autumn Festival
09/28/2011,1,Teachers' Day
10/05/2011,1,Double Ninth Day
10/10/2011,1,National Day/Double Tenth Day
10/25/2011,1,Taiwan's Retrocession Day
12/25/2011,1,Constitution Day
01/01/2012,1,Republic Day/New Year's Day
01/22/2012,1,Chinese New Year's Eve
01/23/2012,1,Chinese New Year's Day
01/24/2012,1,Chinese New Year Holiday 1
01/25/2012,1,Chinese New Year Holiday 2
01/26/2012,1,Chinese New Year Holiday 3
01/27/2012,1,Chinese New Year Holiday 4
02/04/2012,1,Farmer's Day
02/06/2012,1,Lantern Festival
02/06/2012,1,Tourism Day
02/23/2012,1,Earth God's Birthday
02/28/2012,1,228 Memorial Day
03/11/2012,1,Kuan Yin's Birthday
03/12/2012,1,Arbor Day
03/29/2012,1,Youth Day
04/04/2012,1,Tomb Sweeping Day
04/04/2012,1,Women and Children's Day
04/05/2012,1,God of Medicine's Birthday
04/08/2012,1,Easter Sunday
04/13/2012,1,Matu's Birthday
04/28/2012,1,Buddha's Birthday
05/01/2012,1,Labor Day
05/04/2012,1,Literary Day
05/13/2012,1,Mother's Day
06/03/2012,1,Opium Suppression Movement Day
06/23/2012,1,Dragon Boat Festival
07/01/2012,1,Kuan Kung's Birthday
07/01/2012,1,Chen Huang's Birthday
08/08/2012,1,Father's Day
08/23/2012,1,Chi Hsi Festival
08/31/2012,1,Ghost Festival
09/03/2012,1,Armed Forces Day
09/28/2012,1,Teachers' Day
09/30/2012,1,Mid-Autumn Festival
10/10/2012,1,National Day/Double Tenth Day
10/21/2012,1,Overseas Chinese Day
10/23/2012,1,Double Ninth Day
10/25/2012,1,Taiwan's Retrocession Day
11/12/2012,1,Sun Yat-sen's Birthday
11/28/2012,1,Saisiat Festival
12/21/2012,1,Dongzhi Festival
12/25/2012,1,Constitution Day
12/25/2012,1,Christmas Day
01/01/2013,1,Republic Day/New Year's Day
02/01/2013,1,Farmer's Day
02/09/2013,1,Chinese New Year's Eve
02/10/2013,1,Chinese New Year's Day
02/11/2013,1,Chinese New Year Holiday 1
02/12/2013,1,Chinese New Year Holiday 2
02/13/2013,1,Chinese New Year Holiday 3
02/14/2013,1,Chinese New Year Holiday 4
02/24/2013,1,Lantern Festival
02/24/2013,1,Tourism Day
02/28/2013,1,228 Memorial Day
03/12/2013,1,Arbor Day
03/13/2013,1,Earth God's Birthday
03/29/2013,1,Youth Day
03/30/2013,1,Kuan Yin's Birthday
03/31/2013,1,Easter Sunday
04/04/2013,1,Tomb Sweeping Day
04/04/2013,1,Women and Children's Day
04/24/2013,1,God of Medicine's Birthday
05/01/2013,1,Labor Day
05/02/2013,1,Matu's Birthday
05/04/2013,1,Literary Day
05/12/2013,1,Mother's Day
05/17/2013,1,Buddha's Birthday
06/03/2013,1,Opium Suppression Movement Day
06/12/2013,1,Dragon Boat Festival
06/20/2013,1,Kuan Kung's Birthday
06/20/2013,1,Chen Huang's Birthday
08/08/2013,1,Father's Day
08/13/2013,1,Chi Hsi Festival
08/21/2013,1,Ghost Festival
09/03/2013,1,Armed Forces Day
09/19/2013,1,Mid-Autumn Festival
09/28/2013,1,Teachers' Day
10/10/2013,1,National Day/Double Tenth Day
10/13/2013,1,Double Ninth Day
10/21/2013,1,Overseas Chinese Day
10/25/2013,1,Taiwan's Retrocession Day
11/12/2013,1,Sun Yat-sen's Birthday
11/17/2013,1,Saisiat Festival
12/22/2013,1,Dongzhi Festival
12/25/2013,1,Constitution Day
12/25/2013,1,Christmas Day
01/01/2014,1,Republic Day/New Year's Day
01/30/2014,1,Chinese New Year's Eve
01/31/2014,1,Chinese New Year's Day
02/01/2014,1,Chinese New Year Holiday 1
02/02/2014,1,Chinese New Year Holiday 2
02/03/2014,1,Chinese New Year Holiday 3
02/04/2014,1,Chinese New Year Holiday 4
02/04/2014,1,Farmer's Day
02/14/2014,1,Lantern Festival
02/14/2014,1,Tourism Day
02/28/2014,1,228 Memorial Day
03/02/2014,1,Earth God's Birthday
03/08/2014,1,Women's Day
03/12/2014,1,Arbor Day
03/19/2014,1,Kuan Yin's Birthday
03/29/2014,1,Youth Day
04/04/2014,1,Children's Day
04/05/2014,1,Tomb Sweeping Day
04/14/2014,1,God of Medicine's Birthday
04/20/2014,1,Easter Sunday
04/22/2014,1,Matu's Birthday
05/01/2014,1,Labor Day
05/04/2014,1,Literary Day
05/06/2014,1,Buddha's Birthday
05/11/2014,1,Mother's Day
06/02/2014,1,Dragon Boat Festival
06/03/2014,1,Opium Suppression Movement Day
06/10/2014,1,Kuan Kung's Birthday
06/10/2014,1,Chen Huang's Birthday
08/02/2014,1,Chi Hsi Festival
08/08/2014,1,Father's Day
08/10/2014,1,Ghost Festival
09/03/2014,1,Armed Forces Day
09/08/2014,1,Mid-Autumn Festival
09/28/2014,1,Teachers' Day
10/02/2014,1,Double Ninth Day
10/10/2014,1,National Day/Double Tenth Day
10/21/2014,1,Overseas Chinese Day
10/25/2014,1,Taiwan's Retrocession Day
11/12/2014,1,Sun Yat-sen's Birthday
12/06/2014,1,Saisiat Festival
12/22/2014,1,Dongzhi Festival
12/25/2014,1,Constitution Day
12/25/2014,1,Christmas Day
12/27/2014,1,Special Working Day
01/01/2015,1,Republic Day/New Year's Day
01/02/2015,1,Bridge Public Holiday
02/04/2015,1,Farmer's Day
02/18/2015,1,Chinese New Year's Eve
02/19/2015,1,Chinese New Year's Day
02/20/2015,1,Chinese New Year Holiday 1
02/21/2015,1,Chinese New Year Holiday 2
02/22/2015,1,Chinese New Year Holiday 3
02/23/2015,1,Chinese New Year Holiday 4
02/27/2015,1,228 Memorial Day' Observed
02/28/2015,1,228 Memorial Day
03/05/2015,1,Lantern Festival
03/08/2015,1,Women's Day
03/29/2015,1,Youth Day
04/03/2015,1,Children's Day' Observed
04/04/2015,1,Children's Day
04/05/2015,1,Tomb Sweeping Day
04/06/2015,1,Tomb Sweeping Day Holiday
05/01/2015,1,Labor Day
06/19/2015,1,Dragon Boat Festival Holiday
06/20/2015,1,Dragon Boat Festival
08/28/2015,1,Ghost Festival
09/03/2015,1,Armed Forces Day
09/26/2015,1,Mid-Autumn Festival Holiday
09/27/2015,1,Mid-Autumn Festival
09/28/2015,1,Mid-Autumn Festival Holiday
09/28/2015,1,Teachers' Day
10/09/2015,1,National Day/Double Tenth Day' Observed
10/10/2015,1,National Day/Double Tenth Day
10/21/2015,1,Double Ninth Day
10/25/2015,1,Taiwan's Retrocession Day
12/25/2015,,
